T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
-2.9,1.7,-6.1,1031.8,53.0,16.1,17.2,24.1,257.6666666666667
-4.1,2.2,-10.0,1031.8,61.0,15.8,6.9,14.8,166.875
-2.4,4.4,-10.0,1028.8,63.0,15.0,2.8,14.8,135.16666666666666
0.7,6.1,-11.7,1017.9,54.0,16.1,16.5,29.4,211.45833333333331
-3.2,6.1,-8.9,1024.2,65.0,16.1,8.3,16.5,215.5
-1.8,6.1,-8.9,1028.5,63.0,16.1,6.9,16.5,223.375
0.9,4.4,-2.2,1019.6,65.0,16.1,11.1,16.5,135.58333333333334
-1.6,4.4,-5.6,1019.8,86.0,12.1,2.2,11.1,152.04166666666666
0.2,2.2,-5.6,1029.9,77.0,11.9,14.3,25.9,141.41666666666666
-1.9,2.0,-4.4,1032.5,65.0,15.3,18.3,24.1,46.708333333333336
-1.6,1.1,-4.4,1029.1,63.0,16.1,7.4,16.5,91.75
2.2,9.4,-3.9,1025.4,69.0,15.8,4.4,14.8,99.91666666666669
1.3,5.6,-3.3,1033.5,85.0,8.2,4.3,16.5,119.70833333333331
2.7,3.3,1.1,1026.8,85.0,13.2,3.1,7.6,110.875
2.1,9.4,-0.6,1026.0,74.0,16.1,12.6,20.6,200.33333333333331
6.9,12.8,-1.1,1024.7,79.0,12.4,3.0,13.0,203.58333333333331
10.5,16.1,9.4,1020.2,85.0,14.6,3.9,14.8,25.08333333333333
1.2,3.0,0.0,1026.2,78.0,13.0,3.3,13.0,349.2916666666667
3.1,6.1,0.0,1024.9,76.0,13.7,3.0,9.4,188.04166666666663
5.3,6.7,1.1,1021.9,73.0,16.1,8.5,14.8,310.25
4.7,11.7,-1.7,1014.5,68.0,16.1,12.0,20.6,204.375
9.4,16.1,-1.7,1016.6,65.0,16.1,11.9,22.2,223.25
7.7,16.1,1.1,1019.3,84.0,14.6,10.0,24.1,248.95833333333331
-6.6,-5.6,-7.2,1041.3,49.0,16.1,13.0,18.3,nan
-2.1,4.4,-11.7,1026.5,54.0,16.1,15.6,29.4,172.75
2.1,4.4,-5.0,1024.8,78.0,13.7,6.1,16.5,146.79166666666666
3.4,5.6,0.6,1014.3,93.0,8.7,5.9,14.8,113.875
-9.0,-1.7,-13.3,1041.2,55.0,14.6,21.1,31.7,227.0
-12.4,-2.8,-17.2,1035.8,52.0,16.1,12.2,25.9,231.25
-5.8,0.0,-17.2,1029.4,46.0,16.1,22.8,38.9,272.125
-7.4,1.1,-11.7,1037.9,63.0,16.1,11.7,16.5,228.79166666666663
-7.0,-1.1,-11.7,1031.1,71.0,16.1,2.6,11.1,200.875
-1.3,7.8,-11.7,1023.5,64.0,16.1,5.4,20.6,214.04166666666663
2.6,14.4,-5.0,1015.0,65.0,16.1,1.7,9.4,217.25
1.9,14.4,-5.0,1014.6,74.0,16.1,3.5,13.0,212.45833333333331
3.4,10.0,-4.4,1020.0,67.0,16.1,12.4,31.7,202.66666666666663
7.9,12.8,-5.0,1005.0,71.0,14.6,15.2,24.1,138.79166666666666
0.4,10.6,-4.4,1016.1,76.0,15.8,11.3,24.1,153.08333333333334
3.4,8.9,-4.4,1018.1,75.0,16.1,7.6,16.5,159.70833333333334
0.3,7.8,-5.0,1027.7,66.0,16.1,1.7,11.1,151.875
3.2,7.8,-4.4,1011.9,79.0,11.3,10.4,25.9,224.79166666666663
-5.2,5.0,-8.3,1022.9,68.0,15.3,20.7,38.9,177.625
-0.8,9.4,-8.3,1023.6,59.0,16.1,6.7,18.3,149.625
2.8,7.2,-0.6,1017.1,69.0,16.1,2.4,11.1,161.16666666666666
14.4,18.9,11.7,1005.7,51.0,16.1,18.5,25.9,136.75
3.3,19.4,0.0,1018.0,72.0,12.9,15.4,20.6,50.91666666666666
-3.4,5.6,-11.1,1028.2,48.0,16.1,6.7,16.5,120.20833333333331
-1.3,5.6,-7.2,1021.5,55.0,16.1,15.4,35.2,137.125
-9.8,-7.2,-12.2,1033.4,43.0,15.9,15.0,20.6,197.08333333333331
-12.6,-5.6,-17.2,1031.8,51.0,16.1,9.1,14.8,166.375
-7.4,-2.8,-17.2,1025.2,54.0,16.1,13.0,22.2,126.58333333333331
-0.7,6.1,-10.6,1015.0,82.0,11.6,4.4,14.8,94.91666666666669
-0.7,7.8,-14.4,1013.6,62.0,16.1,5.2,20.6,133.95833333333334
-3.2,7.8,-7.8,1019.3,69.0,12.2,17.8,31.7,69.25
-11.4,1.1,-16.7,1037.7,54.0,16.1,11.5,22.2,79.29166666666667
-2.8,0.0,-9.4,1029.9,87.0,6.1,3.5,13.0,31.625
-5.9,2.2,-14.4,1033.4,70.0,11.7,4.8,16.5,20.416666666666668
2.9,8.9,-0.6,1017.6,77.0,13.5,8.7,25.9,61.125
9.4,18.9,4.4,1023.6,42.0,16.1,17.8,25.9,49.583333333333336
6.8,19.4,-2.8,1021.6,58.0,16.1,4.1,14.8,34.916666666666664
6.3,19.4,-2.8,1020.0,62.0,16.1,3.5,13.0,47.5
11.1,15.6,8.9,1021.2,86.0,6.4,7.6,13.0,128.83333333333334
12.1,16.7,8.9,1019.5,74.0,9.5,5.4,16.5,56.333333333333336
9.7,22.2,-1.1,1024.5,57.0,16.1,5.4,18.3,20.291666666666668
5.6,10.0,2.2,1020.9,71.0,15.9,9.1,16.5,59.16666666666666
7.1,12.2,3.3,1020.8,79.0,13.4,8.1,16.5,83.83333333333333
10.4,21.1,1.1,1020.3,63.0,15.6,5.6,16.5,89.375
9.9,16.1,0.6,1015.6,79.0,12.7,10.6,22.2,101.375
7.1,16.1,3.3,1017.7,68.0,13.4,16.9,24.1,109.75
3.1,10.6,0.6,1020.7,58.0,15.3,12.0,20.6,42.91666666666666
15.4,23.9,-1.1,1013.7,38.0,16.1,10.0,22.2,47.25
13.9,25.6,2.8,1014.6,48.0,16.1,8.0,27.8,81.20833333333333
18.9,22.8,17.0,1008.2,67.0,15.8,12.6,22.2,52.29166666666666
12.7,22.8,8.9,1014.4,73.0,15.3,16.3,42.4,28.45833333333333
17.2,22.2,12.2,1012.0,85.0,13.5,10.6,24.1,49.5
21.2,23.9,15.0,1010.3,76.0,15.6,8.9,20.6,75.16666666666667
22.0,27.8,17.2,1005.6,71.0,15.0,16.1,63.0,53.125
18.5,25.0,11.1,1015.4,51.0,16.1,10.9,24.1,54.708333333333336
15.9,21.1,12.2,1021.6,35.0,16.1,14.3,27.8,52.625
15.5,21.1,10.0,1018.2,51.0,16.1,13.9,24.1,51.375
17.3,25.0,12.2,1005.1,83.0,14.5,4.6,22.2,94.33333333333331
12.7,19.4,10.0,1003.6,61.0,15.6,24.4,37.0,92.91666666666669
12.1,20.0,6.7,1009.6,43.0,16.1,17.4,27.8,80.20833333333333
14.3,20.0,3.9,1002.5,81.0,13.7,8.3,22.2,71.66666666666667
12.1,16.7,8.0,1011.8,63.0,13.7,17.2,24.1,31.83333333333333
10.8,18.9,2.8,1017.9,55.0,15.8,8.3,22.2,47.66666666666666
12.1,21.7,2.2,1019.8,51.0,16.1,3.0,11.1,48.125
16.1,26.1,2.2,1018.3,52.0,16.1,4.1,13.0,56.25
21.5,28.3,8.3,1014.4,43.0,16.1,8.9,22.2,103.41666666666669
23.0,29.4,16.7,1014.6,53.0,16.1,10.0,27.8,76.875
20.1,28.9,16.1,1013.3,83.0,14.8,3.7,25.9,86.375
19.0,22.8,16.1,1015.1,93.0,9.5,6.7,18.3,77.70833333333333
14.0,21.7,6.1,1026.7,64.0,15.9,6.3,18.3,48.5
17.0,24.4,6.1,1021.7,70.0,15.8,9.8,16.5,55.083333333333336
21.4,28.9,13.9,1015.2,72.0,15.4,9.1,35.2,67.45833333333333
14.8,28.9,8.3,1023.2,62.0,16.1,12.2,20.6,18.875
11.5,16.1,8.0,1019.7,76.0,12.7,14.8,24.1,61.5
11.3,18.3,8.0,1022.3,68.0,16.1,11.1,18.3,68.91666666666667
23.2,29.4,17.2,1012.6,75.0,15.1,12.6,22.2,77.375
22.8,25.6,19.0,1011.3,75.0,15.4,15.0,25.9,63.91666666666666
14.9,25.0,11.7,1018.9,84.0,15.0,13.1,22.2,63.625
15.0,17.8,11.7,1020.5,84.0,15.0,9.6,13.0,25.45833333333333
17.7,22.8,13.3,1018.9,79.0,15.4,4.6,13.0,20.75
17.8,23.3,12.0,1016.0,83.0,14.8,5.0,16.5,40.5
23.0,25.6,21.1,1013.1,87.0,16.1,1.1,5.4,64.83333333333333
25.3,32.8,19.4,1008.6,73.0,15.3,12.8,31.7,63.0
24.6,32.2,17.8,1010.2,68.0,15.9,4.6,13.0,73.83333333333333
25.2,32.2,20.0,1011.9,81.0,15.4,9.1,25.9,31.875
24.6,30.6,20.0,1013.1,87.0,14.2,8.1,18.3,54.958333333333336
25.3,31.1,22.2,1014.2,85.0,15.1,9.1,22.2,77.75
22.8,25.6,21.7,1011.6,96.0,12.2,12.4,20.6,75.33333333333333
24.7,31.7,20.6,1010.9,81.0,14.5,10.0,16.5,32.583333333333336
25.4,31.7,20.6,1012.9,81.0,15.6,10.9,27.8,28.375
27.6,33.9,18.9,1014.4,74.0,16.1,11.1,29.4,28.541666666666668
23.0,33.9,20.6,1012.0,86.0,15.3,9.6,51.9,51.04166666666666
22.2,26.7,20.0,1014.4,75.0,16.1,12.8,27.8,40.0
24.2,29.4,18.9,1011.3,85.0,12.6,5.7,14.8,37.583333333333336
21.9,29.4,17.8,1010.7,87.0,14.3,8.1,20.6,37.625
22.9,27.8,17.8,1011.9,74.0,16.1,7.8,14.8,34.375
23.4,28.3,19.0,1012.3,89.0,12.1,11.9,18.3,42.29166666666666
17.4,26.7,15.0,1016.0,95.0,10.0,10.6,18.3,45.66666666666666
19.9,24.4,15.0,1016.6,86.0,15.4,10.6,24.1,40.625
30.0,35.0,21.7,1008.6,72.0,16.1,12.0,20.6,26.875
30.7,35.0,25.6,1005.1,71.0,16.1,12.8,22.2,30.70833333333333
26.7,34.4,21.7,1011.6,69.0,16.1,8.7,18.3,10.208333333333334
26.7,30.6,22.0,1012.7,81.0,16.1,8.3,24.1,43.04166666666666
24.4,28.3,21.7,1010.5,91.0,12.9,5.6,31.7,19.416666666666668
25.0,28.3,21.7,1010.9,73.0,16.1,8.3,14.8,8.416666666666666
27.2,33.3,18.9,1013.1,77.0,14.2,4.8,13.0,0.0
26.2,33.3,21.7,1012.1,87.0,15.4,5.7,27.8,0.0
28.1,35.0,21.7,1011.9,82.0,14.8,3.1,27.8,4.833333333333333
25.8,33.9,16.7,1018.3,67.0,16.1,4.6,18.3,15.375
25.1,33.9,18.3,1015.7,75.0,16.1,1.5,11.1,19.83333333333333
27.4,33.9,19.4,1012.3,71.0,16.1,6.9,18.3,25.791666666666668
27.7,33.9,21.1,1010.5,65.0,16.1,8.0,16.5,22.70833333333333
24.4,30.6,18.9,1011.2,80.0,15.6,2.6,9.4,31.33333333333333
25.3,31.7,18.9,1011.8,86.0,11.7,2.0,11.1,47.41666666666666
26.7,31.7,21.1,1011.7,84.0,14.2,6.3,16.5,33.791666666666664
23.4,30.6,16.7,1019.2,72.0,15.6,2.4,11.1,39.04166666666666
24.4,31.1,17.2,1019.6,76.0,15.8,1.1,7.6,41.708333333333336
24.8,32.2,18.3,1019.5,77.0,13.0,1.7,9.4,28.75
20.7,23.0,18.9,1008.2,84.0,15.6,10.7,35.2,12.25
19.4,27.2,13.9,1014.3,70.0,16.1,10.2,16.5,14.5
20.9,27.8,13.9,1017.5,71.0,16.1,5.2,18.3,23.916666666666668
18.4,26.7,10.6,1018.6,67.0,15.9,6.5,20.6,27.375
18.1,26.1,10.6,1019.9,72.0,16.1,3.1,11.1,29.20833333333333
18.8,26.1,11.1,1020.1,77.0,15.0,1.9,11.1,36.5
25.9,32.8,18.9,1015.5,80.0,13.0,3.0,11.1,27.83333333333333
27.0,33.3,20.6,1016.6,73.0,14.5,5.6,13.0,44.125
26.7,33.3,20.0,1016.6,73.0,15.3,6.5,16.5,62.25
26.2,33.3,20.0,1014.1,76.0,12.6,3.5,11.1,60.125
25.7,33.9,20.0,1014.6,79.0,14.8,4.6,13.0,34.666666666666664
25.7,31.7,20.0,1012.3,81.0,15.4,9.3,25.9,39.208333333333336
23.4,24.0,22.0,1011.6,98.0,15.3,1.5,9.4,38.708333333333336
14.4,23.3,7.8,1018.4,69.0,12.6,3.1,16.5,69.95833333333333
19.7,28.3,7.8,1017.5,59.0,16.1,8.5,18.3,94.375
21.2,28.9,11.7,1020.5,60.0,16.1,6.5,20.6,85.75
22.3,32.8,16.7,1013.4,65.0,16.1,14.1,27.8,51.66666666666666
15.9,26.1,8.9,1019.8,69.0,13.5,2.2,16.5,39.41666666666666
16.5,26.1,7.8,1018.6,70.0,13.8,3.5,13.0,23.95833333333333
19.3,30.0,10.6,1019.7,66.0,13.2,3.7,16.5,43.5
18.0,30.0,10.6,1019.0,78.0,14.5,5.9,18.3,50.41666666666666
20.9,25.0,11.1,1016.8,84.0,16.1,2.8,9.4,55.708333333333336
14.7,22.2,8.3,1021.5,59.0,16.1,12.6,24.1,57.125
13.8,21.1,8.3,1021.7,61.0,16.1,15.6,24.1,69.375
12.4,16.7,8.9,1018.1,62.0,16.1,15.9,24.1,65.375
18.5,25.0,13.3,1019.8,84.0,14.5,1.3,9.4,112.29166666666669
18.5,27.8,11.0,1017.0,79.0,9.7,3.9,16.5,97.70833333333331
17.6,20.0,15.0,1018.4,74.0,16.1,9.8,20.6,80.70833333333333
16.8,27.2,8.9,1009.2,42.0,16.1,14.6,25.9,81.625
13.2,24.4,4.4,1015.0,60.0,16.1,2.8,11.1,65.375
14.1,27.8,4.4,1018.5,57.0,15.4,5.2,22.2,84.375
19.3,27.2,9.4,1019.9,34.0,15.4,11.1,22.2,153.375
20.7,30.0,11.1,1020.3,52.0,15.6,8.5,20.6,162.875
10.6,21.1,4.4,1025.3,73.0,16.1,6.7,16.5,0.0
10.1,20.6,1.0,1024.2,67.0,15.6,6.7,20.6,49.333333333333336
14.9,17.8,12.8,1016.1,83.0,9.2,11.7,20.6,107.33333333333331
12.0,15.0,9.4,1012.2,85.0,13.0,8.0,14.8,273.625
12.4,21.7,5.0,1014.8,82.0,9.3,4.1,13.0,256.9583333333333
11.1,21.7,3.3,1015.4,83.0,12.7,3.5,9.4,185.08333333333331
13.7,21.1,3.3,1017.8,91.0,6.9,5.7,14.8,249.5
7.9,20.0,1.1,1027.0,68.0,16.1,3.7,16.5,365.75
5.3,15.6,-1.7,1029.8,69.0,15.6,1.9,11.1,241.875
4.8,15.0,-2.2,1024.1,67.0,16.1,0.7,7.6,176.875
9.2,16.1,0.6,1023.3,41.0,16.1,15.7,31.7,353.0416666666667
7.2,21.1,-1.7,1026.3,54.0,16.1,5.9,24.1,257.4166666666667
9.5,21.1,-1.7,1025.6,51.0,16.1,6.1,24.1,204.75
9.8,18.9,6.1,1016.0,47.0,16.1,16.3,29.4,207.83333333333331
4.2,12.8,-2.8,1024.6,55.0,16.1,5.7,18.3,268.1666666666667
11.3,14.4,8.3,1021.9,53.0,16.1,9.8,20.6,157.5
16.5,21.1,8.3,1023.5,65.0,16.1,18.3,31.7,156.375
11.4,21.1,5.0,1023.3,85.0,11.4,13.1,22.2,200.5
6.2,10.6,1.1,1013.4,75.0,13.0,11.1,22.2,212.125
4.1,10.6,1.1,1012.6,69.0,16.1,15.6,25.9,190.5
2.9,8.9,-2.8,1026.6,79.0,16.1,2.8,11.1,236.41666666666663
5.7,10.0,-3.9,1025.1,88.0,13.7,2.8,9.4,286.375
6.3,17.8,-1.1,1014.7,69.0,15.6,3.7,16.5,288.0833333333333
10.7,17.8,-1.1,1009.4,68.0,16.1,10.4,16.5,302.4583333333333
18.4,22.2,7.8,1008.0,86.0,13.2,13.5,20.6,163.0
11.2,20.0,7.2,995.6,82.0,13.7,21.5,42.4,161.375
7.4,13.3,6.1,1009.8,85.0,15.6,12.0,29.4,157.375
1.2,8.9,-4.4,1028.7,60.0,16.1,7.2,14.8,245.91666666666663
8.6,13.9,-4.4,1022.1,50.0,16.1,13.7,24.1,264.5833333333333
13.2,18.3,5.0,1010.1,73.0,15.1,16.9,22.2,253.29166666666663
6.8,10.6,-0.6,1021.1,77.0,16.1,8.3,20.6,181.20833333333331
7.5,10.6,1.7,1020.0,90.0,11.3,8.7,14.8,210.875
6.2,11.0,3.9,1020.5,93.0,9.0,17.8,33.5,255.33333333333331
0.3,0.6,0.0,1027.3,72.0,16.1,8.9,14.8,nan
-0.4,5.0,-3.9,1029.6,70.0,16.1,10.9,24.1,284.7958333333333
2.2,7.8,-3.9,1024.9,62.0,16.1,14.4,20.6,219.72083333333333
0.2,7.8,-3.3,1022.3,72.0,16.1,11.1,24.1,182.1875
6.3,10.6,-5.0,1017.7,62.0,16.1,7.8,13.0,154.03750000000002
8.8,12.8,2.8,1008.9,84.0,14.8,8.1,18.3,223.20833333333331
3.8,12.8,-2.8,1011.2,86.0,13.4,14.1,25.9,200.64583333333337
-3.2,8.9,-10.0,1022.6,59.0,16.1,7.0,20.6,285.225
5.2,18.3,-10.0,1009.8,63.0,16.1,7.0,22.2,236.825
7.5,18.3,-3.9,1001.2,75.0,15.0,14.6,31.7,276.90833333333336
-8.8,-4.4,-15.6,1032.7,69.0,14.3,5.7,14.8,108.0
-7.4,-3.0,-13.3,1025.8,86.0,11.1,4.6,11.1,107.625
-5.4,-2.2,-15.0,1025.3,79.0,15.1,11.7,18.3,125.89166666666668
6.0,11.1,-7.2,1009.8,71.0,16.1,10.7,24.1,181.01250000000005
1.8,11.1,-1.1,1020.8,70.0,15.8,19.8,31.7,152.55416666666667
1.0,6.1,-1.1,1026.0,63.0,16.1,7.4,13.0,152.32083333333335
10.6,20.6,5.0,1002.4,72.0,16.1,6.3,27.8,319.7375
8.7,16.1,3.3,1005.6,76.0,13.7,13.5,33.5,279.6
4.4,16.1,0.0,1008.2,64.0,16.1,23.2,33.5,179.11666666666667
0.8,12.2,-3.9,1012.0,59.0,15.4,23.9,38.9,93.375
-5.3,4.4,-7.2,1016.9,64.0,12.7,25.0,35.2,103.0
-7.7,1.7,-11.7,1036.9,49.0,16.1,11.9,20.6,132.20833333333334
-4.6,-2.0,-6.1,1025.0,61.0,13.4,11.5,16.5,127.70833333333331
0.1,5.6,-6.1,1013.8,85.0,10.0,4.6,11.1,109.33333333333331
17.7,23.3,13.9,1010.2,39.0,16.1,27.4,40.7,56.458333333333336
11.9,25.0,0.6,1014.9,59.0,16.1,3.9,14.8,135.83333333333334
11.9,25.0,0.6,1016.4,61.0,15.4,10.9,22.2,122.5
3.6,6.1,0.6,1017.2,65.0,16.1,22.8,29.4,69.66666666666667
1.1,5.6,-2.2,1027.0,65.0,16.1,8.7,16.5,79.83333333333333
4.3,18.9,-4.4,1020.0,58.0,16.1,6.9,24.1,62.708333333333336
8.6,20.6,-0.6,1011.5,57.0,16.1,18.1,37.0,1.9166666666666667
-0.5,13.3,-7.2,1022.5,62.0,16.1,6.9,24.1,1.8333333333333333
5.8,9.0,3.9,1014.7,76.0,15.8,6.7,22.2,1.7916666666666667
17.8,23.3,13.0,1011.2,43.0,16.1,12.6,27.8,117.58333333333331
19.3,23.9,13.3,1011.7,60.0,16.1,15.0,24.1,122.70833333333331
17.1,22.8,14.4,1011.4,81.0,14.6,6.7,14.8,76.54166666666667
14.6,17.8,8.9,1008.1,96.0,6.8,5.6,16.5,59.208333333333336
14.6,21.1,10.0,1005.4,88.0,8.7,3.9,16.5,77.20833333333333
19.1,29.4,11.7,1001.7,67.0,16.1,12.0,42.4,87.83333333333333
5.6,11.1,0.0,1021.8,62.0,16.1,9.6,33.5,123.70833333333331
4.1,10.0,0.0,1023.6,68.0,12.9,12.4,22.2,64.79166666666667
6.2,15.6,-2.2,1024.2,55.0,16.1,12.8,20.6,62.875
5.9,19.4,2.8,1016.8,63.0,15.9,12.0,27.8,52.04166666666666
10.2,18.3,2.2,1017.6,59.0,15.4,11.1,20.6,128.33333333333334
9.1,18.3,2.2,1015.7,72.0,15.3,8.7,37.0,87.58333333333333
17.6,21.1,8.9,999.1,75.0,15.6,19.3,40.7,23.20833333333333
10.1,21.1,5.6,1009.5,62.0,16.1,18.1,29.4,15.166666666666666
11.2,24.4,-0.6,1016.9,42.0,16.1,14.6,38.9,25.75
10.0,16.7,6.1,1009.2,62.0,15.6,22.4,44.6,105.33333333333331
8.8,16.7,5.6,1015.6,53.0,16.1,25.7,46.5,117.75
5.4,13.9,-1.7,1022.6,38.0,16.1,13.9,29.4,20.791666666666668
9.4,18.9,-0.6,1023.8,57.0,16.1,5.7,13.0,46.91666666666666
12.7,22.2,0.6,1020.4,55.0,16.1,6.1,18.3,104.625
16.2,24.4,2.8,1018.0,61.0,16.1,7.2,22.2,109.625
18.8,27.8,8.9,1020.3,75.0,15.8,2.2,13.0,42.958333333333336
16.4,23.9,11.7,1015.7,89.0,14.3,5.7,20.6,0.0
16.9,23.3,11.7,1010.4,79.0,12.7,8.0,25.9,30.875
23.2,30.6,11.1,1007.1,52.0,16.1,13.1,25.9,79.91666666666667
21.9,30.6,13.9,1006.3,73.0,15.3,9.8,77.8,0.0
18.7,27.2,14.4,1004.2,83.0,16.1,10.6,18.3,0.0
16.7,23.9,11.7,1011.2,84.0,14.2,6.3,22.2,142.5
12.6,23.3,10.6,1016.7,79.0,16.1,10.6,20.6,133.375
13.6,17.8,10.0,1016.2,73.0,16.1,7.2,13.0,102.41666666666669
19.9,30.0,12.2,1011.5,60.0,15.8,12.8,33.5,158.29166666666666
18.9,21.1,16.7,1010.8,87.0,16.1,2.2,5.4,149.58333333333334
19.2,26.1,13.9,1008.8,81.0,15.4,9.1,20.6,107.29166666666669
16.5,25.6,7.8,1018.2,61.0,16.1,8.0,18.3,106.5
12.8,25.6,7.2,1019.6,52.0,15.9,20.6,35.2,128.125
11.4,18.9,4.4,1022.0,57.0,16.1,8.3,22.2,108.0
18.1,25.0,9.4,1019.4,58.0,16.1,10.0,18.3,118.5
18.7,28.3,8.9,1018.7,58.0,16.1,3.1,9.4,89.54166666666667
19.7,28.9,8.9,1014.6,61.0,16.1,5.2,20.6,87.25
22.2,27.8,18.9,1010.2,87.0,15.3,10.4,20.6,93.5
23.6,29.4,19.4,1010.7,76.0,15.6,12.0,20.6,97.625
24.2,30.6,16.7,1016.4,62.0,16.1,7.4,16.5,76.95833333333333
23.0,29.0,19.4,1012.9,82.0,15.3,4.6,22.2,45.375
23.9,29.4,19.4,1015.8,67.0,15.8,5.0,13.0,65.16666666666667
21.4,29.4,17.2,1016.5,74.0,16.1,1.9,9.4,67.08333333333333
21.9,29.4,13.9,1010.7,54.0,16.1,9.6,18.3,77.66666666666667
20.4,28.3,11.7,1014.7,59.0,16.1,2.4,7.6,70.25
24.4,33.3,15.6,1014.4,60.0,16.1,6.3,16.5,75.125
27.3,35.0,21.1,1013.8,70.0,15.8,3.5,13.0,77.0
26.9,33.9,21.7,1008.9,76.0,14.5,5.6,16.5,32.958333333333336
30.1,36.7,24.4,1007.7,64.0,15.8,11.7,20.6,40.833333333333336
25.9,33.3,18.3,1021.2,67.0,16.1,6.1,18.3,90.70833333333331
28.6,35.6,21.7,1020.2,64.0,16.1,9.8,18.3,97.29166666666669
25.6,32.2,21.7,1017.0,77.0,16.1,6.7,22.2,79.83333333333333
26.9,35.0,22.8,1015.8,73.0,15.4,4.1,38.9,40.375
26.8,33.9,22.8,1015.8,80.0,15.3,5.9,25.9,49.41666666666666
28.6,35.0,23.3,1017.2,60.0,16.1,5.2,13.0,43.66666666666666
24.6,28.9,20.0,1015.2,67.0,15.9,9.4,16.5,0.0
19.5,27.8,17.8,1018.6,80.0,14.6,5.6,14.8,29.666666666666668
18.3,22.2,16.1,1014.5,93.0,13.7,9.8,16.5,47.75
23.9,30.0,19.0,1009.3,88.0,12.7,7.8,24.1,43.66666666666666
27.7,32.8,23.0,1011.1,78.0,16.1,8.3,18.3,29.83333333333333
25.3,31.7,19.4,1015.4,72.0,16.1,3.5,13.0,29.666666666666668
26.3,33.3,21.7,1012.6,81.0,15.4,12.0,42.4,37.625
25.6,32.2,21.7,1013.0,81.0,16.1,4.6,18.3,41.458333333333336
25.9,31.7,20.6,1015.3,72.0,16.1,5.9,16.5,53.125
29.0,36.1,23.3,1020.5,76.0,14.3,2.0,9.4,36.0
26.4,33.9,21.7,1020.3,82.0,15.8,8.3,40.7,70.58333333333333
29.9,35.6,23.9,1017.4,76.0,15.8,6.1,13.0,52.458333333333336
27.5,33.9,22.8,1013.9,81.0,14.5,10.7,27.8,38.25
27.4,32.2,23.9,1014.7,79.0,16.1,7.4,14.8,26.58333333333333
27.2,33.3,23.3,1013.4,79.0,15.3,3.1,16.5,57.583333333333336
24.8,32.2,18.9,1014.6,77.0,14.8,3.3,14.8,41.375
24.8,29.4,21.7,1015.6,85.0,14.6,4.3,13.0,25.541666666666668
24.9,29.4,21.7,1016.3,87.0,15.0,5.7,16.5,28.375
25.8,30.0,22.2,1015.2,85.0,16.1,4.8,35.2,40.333333333333336
24.0,29.4,18.3,1015.0,73.0,15.8,5.0,11.1,35.375
25.0,29.4,22.8,1014.1,72.0,16.1,1.7,9.4,31.916666666666668
26.3,32.8,20.6,1013.5,74.0,14.6,2.8,11.1,36.79166666666666
25.4,30.6,23.3,1010.8,84.0,14.8,11.1,40.7,26.83333333333333
21.9,28.9,18.9,1015.8,90.0,12.2,3.7,18.3,21.125
22.6,25.6,20.6,1014.0,94.0,10.8,11.1,20.6,18.0
25.9,30.6,22.2,1013.0,79.0,16.1,7.4,13.0,43.583333333333336
25.5,28.9,23.3,1007.5,78.0,16.1,14.4,25.9,46.04166666666666
21.7,27.2,15.6,1014.0,68.0,16.1,10.6,18.3,28.75
28.2,33.9,21.1,1015.8,73.0,16.1,9.4,18.3,64.91666666666667
26.4,31.1,22.2,1016.7,83.0,16.1,2.6,9.4,30.666666666666668
27.2,33.9,21.7,1016.1,76.0,16.1,7.4,14.8,31.75
23.8,29.4,20.6,1016.6,90.0,10.8,5.4,16.5,33.166666666666664
22.5,27.8,16.1,1018.0,72.0,16.1,11.3,24.1,30.625
20.3,26.7,13.9,1020.3,69.0,16.1,10.7,22.2,30.33333333333333
19.7,27.8,12.2,1019.5,74.0,14.3,3.9,13.0,31.75
29.4,34.4,25.6,1016.2,69.0,16.1,12.6,20.6,0.0
25.8,30.6,22.0,1012.7,82.0,15.1,10.4,24.1,0.0
23.2,30.0,19.4,1012.0,91.0,10.1,6.7,18.3,0.0
22.3,31.7,15.0,1017.3,76.0,15.8,3.9,16.5,83.45833333333333
24.3,30.0,18.9,1019.5,80.0,15.4,5.7,14.8,71.66666666666667
23.9,30.0,19.0,1019.1,85.0,13.5,4.3,38.9,65.625
21.1,30.6,13.0,1016.2,80.0,12.4,2.8,7.6,62.375
25.2,32.8,19.4,1017.7,79.0,16.1,3.9,11.1,24.875
25.4,30.6,20.0,1018.6,73.0,13.2,4.8,13.0,37.333333333333336
24.5,31.7,18.3,1015.8,79.0,11.9,5.2,24.1,41.5
19.5,26.7,15.0,1019.3,61.0,15.8,13.3,33.5,38.79166666666666
16.8,26.7,9.4,1015.5,62.0,15.4,10.6,22.2,48.91666666666666
17.9,21.7,16.7,1016.8,86.0,14.5,9.1,14.8,26.666666666666668
16.9,21.7,12.2,1018.0,90.0,14.6,3.7,13.0,29.0
18.6,22.8,15.0,1017.4,86.0,15.4,2.0,11.1,34.25
18.5,25.6,14.4,1018.5,74.0,15.9,12.8,35.2,60.54166666666666
11.9,21.7,3.9,1025.7,65.0,16.1,4.4,9.4,41.583333333333336
13.6,25.0,5.6,1026.6,68.0,13.5,1.9,9.4,50.91666666666666
11.4,15.0,8.9,1025.1,70.0,16.1,11.1,24.1,82.83333333333333
12.3,20.6,7.2,1022.8,81.0,16.1,5.0,13.0,95.25
